partitioning,price,rooms_count,useful_surface,built_surface,bathrooms_count,price_range
decomandat,45900,2.0,44.0,52.0,1.0,mic
,115000,3.0,91.0,,2.0,mediu
decomandat,97900,2.0,50.0,78.0,1.0,mediu
decomandat,42600,2.0,50.0,59.0,1.0,mic
decomandat,61900,3.0,63.0,70.0,2.0,mic
semidecomandat,79500,3.0,68.0,74.0,2.0,mediu
decomandat,105000,3.0,80.0,88.0,2.0,mediu
decomandat,116000,3.0,81.0,115.0,2.0,mediu
decomandat,124000,3.0,80.0,,2.0,mediu
decomandat,82845,2.0,38.0,50.0,1.0,mediu
decomandat,54100,2.0,54.0,68.0,1.0,mic
decomandat,490000,4.0,185.0,222.0,3.0,mare
decomandat,69900,1.0,33.0,60.0,1.0,mediu
decomandat,130000,3.0,87.0,95.0,2.0,mediu
decomandat,77374,2.0,51.0,71.0,2.0,mediu
decomandat,51000,2.0,68.0,79.0,1.0,mic
decomandat,65450,3.0,69.0,69.0,2.0,mediu
decomandat,130000,2.0,71.0,86.0,1.0,mediu
decomandat,48000,2.0,63.0,75.0,1.0,mic
decomandat,173000,4.0,133.0,179.0,3.0,mare
semidecomandat,93500,3.0,71.0,93.0,2.0,mediu
decomandat,219170,4.0,100.0,133.0,2.0,mare
decomandat,870000,4.0,152.0,176.0,3.0,mare
decomandat,77900,2.0,46.0,56.0,1.0,mediu
decomandat,52380,2.0,47.0,54.0,1.0,mic
decomandat,65100,2.0,54.0,64.0,1.0,mediu
semidecomandat,55900,2.0,52.0,60.0,1.0,mic
decomandat,62900,2.0,62.0,,1.0,mic
semidecomandat,36000,2.0,45.0,47.0,1.0,mic
decomandat,60900,1.0,36.0,55.0,1.0,mic
decomandat,489000,4.0,124.0,165.0,3.0,mare
decomandat,67856,2.0,66.0,76.0,1.0,mediu
decomandat,49500,1.0,38.0,50.0,1.0,mic
decomandat,83850,3.0,83.0,95.0,2.0,mediu
decomandat,60000,2.0,66.0,,1.0,mic
decomandat,88600,2.0,72.0,86.0,1.0,mediu
decomandat,67000,2.0,66.0,80.0,2.0,mediu
decomandat,380000,3.0,326.0,391.0,2.0,mare
decomandat,135000,2.0,55.0,78.0,1.0,mediu
decomandat,69685,2.0,44.0,63.0,1.0,mediu
decomandat,78000,2.0,57.0,68.0,1.0,mediu
decomandat,93649,2.0,48.0,65.0,1.0,mediu
decomandat,87300,3.0,76.0,96.0,2.0,mediu
decomandat,58300,2.0,41.0,52.0,1.0,mic
decomandat,59200,2.0,59.0,65.0,1.0,mic
decomandat,58900,2.0,52.0,62.0,1.0,mic
decomandat,55000,2.0,59.0,,1.0,mic
decomandat,58500,2.0,50.0,62.0,1.0,mic
decomandat,88500,2.0,64.0,76.0,1.0,mediu
decomandat,87800,2.0,62.0,65.0,1.0,mediu
decomandat,389000,4.0,144.0,177.0,3.0,mare
decomandat,29880,2.0,40.0,48.0,1.0,mic
semidecomandat,259000,3.0,87.0,99.0,2.0,mare
decomandat,155000,2.0,69.0,92.0,1.0,mare
decomandat,396000,3.0,90.0,127.0,2.0,mare
semidecomandat,99500,4.0,105.0,120.0,2.0,mediu
decomandat,79000,3.0,84.0,100.0,2.0,mediu
semidecomandat,269000,3.0,91.0,105.0,2.0,mare
decomandat,56600,2.0,58.0,68.0,1.0,mic
decomandat,289000,4.0,117.0,135.0,3.0,mare
semidecomandat,74000,3.0,59.0,81.0,1.0,mediu
decomandat,55000,2.0,55.0,60.0,1.0,mic
decomandat,44500,2.0,53.0,55.0,1.0,mic
decomandat,389888,3.0,141.0,180.0,2.0,mare
semidecomandat,299000,3.0,85.0,95.0,2.0,mare
,117000,3.0,70.0,80.0,1.0,mediu
semidecomandat,310000,3.0,81.0,93.0,2.0,mare
decomandat,104500,3.0,84.0,84.0,2.0,mediu
decomandat,52280,2.0,61.0,72.0,1.0,mic
decomandat,450000,3.0,110.0,168.0,2.0,mare
nedecomandat,45000,1.0,22.0,,1.0,mic
decomandat,368000,3.0,101.0,124.0,2.0,mare
decomandat,55900,2.0,53.0,62.0,1.0,mic
decomandat,209000,4.0,91.0,125.0,2.0,mare
decomandat,697888,3.0,130.0,190.0,2.0,mare
semidecomandat,69000,2.0,58.0,62.0,1.0,mediu
semidecomandat,289000,3.0,85.0,117.0,2.0,mare
decomandat,53900,2.0,54.0,57.0,1.0,mic
decomandat,364000,3.0,81.0,112.0,2.0,mare
decomandat,82857,3.0,70.0,90.0,2.0,mediu
decomandat,86500,2.0,68.0,75.0,1.0,mediu
decomandat,43000,1.0,33.0,43.0,1.0,mic
decomandat,85900,2.0,83.0,95.0,1.0,mediu
decomandat,485000,4.0,151.0,300.0,3.0,mare
decomandat,483000,4.0,185.0,222.0,3.0,mare
semidecomandat,59300,2.0,45.0,52.0,1.0,mic
decomandat,43850,2.0,49.0,59.0,1.0,mic
decomandat,65550,2.0,58.0,65.0,1.0,mediu
decomandat,49900,2.0,54.0,65.0,1.0,mic
decomandat,749888,4.0,165.0,221.0,3.0,mare
decomandat,185000,4.0,91.0,130.0,2.0,mare
decomandat,40200,2.0,37.0,,1.0,mic
decomandat,70380,3.0,69.0,80.0,2.0,mediu
decomandat,79000,3.0,84.0,93.0,2.0,mediu
decomandat,165000,3.0,76.0,85.0,2.0,mare
decomandat,650000,4.0,150.0,187.0,3.0,mare
semidecomandat,612500,4.0,151.0,188.0,4.0,mare
decomandat,63650,2.0,55.0,60.0,1.0,mic
decomandat,28000,1.0,30.0,35.0,1.0,mic
decomandat,41900,1.0,41.0,50.0,1.0,mic
decomandat,84280,3.0,88.0,105.0,2.0,mediu
decomandat,349000,3.0,113.0,133.0,2.0,mare
decomandat,40000,2.0,40.0,,1.0,mic
decomandat,74950,2.0,64.0,78.0,1.0,mediu
decomandat,353000,4.0,121.0,194.0,3.0,mare
decomandat,554500,4.0,256.0,305.0,4.0,mare
decomandat,78000,1.0,41.0,43.0,1.0,mediu
decomandat,54100,2.0,51.0,59.0,1.0,mic
,47500,2.0,43.0,52.0,1.0,mic
decomandat,650000,4.0,150.0,187.0,3.0,mare
decomandat,94000,2.0,75.0,75.0,1.0,mediu
decomandat,51300,2.0,55.0,,1.0,mic
decomandat,59900,2.0,65.0,77.0,1.0,mic
decomandat,90000,2.0,49.0,63.0,1.0,mediu
decomandat,69038,2.0,66.0,73.0,1.0,mediu
decomandat,63500,2.0,59.0,73.0,1.0,mic
decomandat,84000,2.0,54.0,66.0,1.0,mediu
decomandat,286500,3.0,89.0,114.0,2.0,mare
decomandat,134900,3.0,70.0,84.0,2.0,mediu
decomandat,199000,3.0,78.0,109.0,2.0,mare
decomandat,44748,1.0,41.0,,1.0,mic
decomandat,74190,3.0,89.0,105.0,2.0,mediu
decomandat,66000,2.0,63.0,78.0,1.0,mediu
decomandat,160000,3.0,72.0,110.0,2.0,mare
decomandat,82700,3.0,78.0,80.0,2.0,mediu
decomandat,149000,3.0,81.0,81.0,2.0,mare
decomandat,101500,4.0,81.0,96.0,2.0,mediu
decomandat,59000,2.0,57.0,68.0,1.0,mic
decomandat,130000,3.0,73.0,,2.0,mediu
decomandat,41990,1.0,35.0,42.0,1.0,mic
decomandat,580000,4.0,192.0,223.0,3.0,mare
decomandat,459000,4.0,110.0,123.0,2.0,mare
decomandat,230000,4.0,127.0,162.0,2.0,mare
decomandat,176000,4.0,93.0,120.0,2.0,mare
decomandat,55238,2.0,51.0,65.0,1.0,mic
decomandat,87150,2.0,67.0,80.0,1.0,mediu
decomandat,62500,2.0,53.0,65.0,1.0,mic
decomandat,73600,2.0,66.0,88.0,2.0,mediu
decomandat,92000,3.0,82.0,112.0,2.0,mediu
decomandat,159000,2.0,62.0,68.0,1.0,mare
decomandat,76900,3.0,91.0,101.0,2.0,mediu
decomandat,75000,2.0,60.0,72.0,1.0,mediu
decomandat,248000,4.0,104.0,133.0,3.0,mare
decomandat,59500,2.0,57.0,57.0,1.0,mic
decomandat,51000,2.0,43.0,54.0,1.0,mic
decomandat,63900,2.0,54.0,61.0,1.0,mic
decomandat,79000,3.0,84.0,110.0,2.0,mediu
decomandat,113500,3.0,82.0,125.0,2.0,mediu
semidecomandat,86900,3.0,106.0,114.0,2.0,mediu
decomandat,125500,3.0,82.0,117.0,2.0,mediu
decomandat,63100,2.0,60.0,71.0,1.0,mic
decomandat,41900,1.0,36.0,47.0,1.0,mic
decomandat,75200,3.0,79.0,92.0,2.0,mediu
decomandat,71990,3.0,70.0,81.0,2.0,mediu
decomandat,54395,2.0,49.0,58.0,1.0,mic
decomandat,39000,1.0,35.0,41.0,1.0,mic
decomandat,133000,3.0,111.0,134.0,2.0,mediu
decomandat,57140,2.0,59.0,73.0,1.0,mic
decomandat,41990,1.0,35.0,42.0,1.0,mic
decomandat,177000,3.0,75.0,106.0,1.0,mare
decomandat,74900,3.0,70.0,81.0,2.0,mediu
decomandat,154500,3.0,91.0,100.0,2.0,mare
decomandat,82467,3.0,79.0,88.0,2.0,mediu
decomandat,90500,2.0,78.0,94.0,1.0,mediu
decomandat,50430,2.0,52.0,65.0,1.0,mic
decomandat,66500,2.0,65.0,80.0,1.0,mediu
decomandat,52500,2.0,56.0,,1.0,mic
decomandat,73500,3.0,72.0,80.0,2.0,mediu
decomandat,63500,2.0,59.0,68.0,1.0,mic
decomandat,169900,4.0,142.0,142.0,2.0,mare
